[ticker-service] Installing dependencies...
bun install v1.3.14 (0d9b296a)

+ socket.io@4.8.3

22 packages installed [111.00ms]
[ticker-service] Running bun run dev...
$ bun --hot index.ts
[ticker] Loaded 65 tick records
[ticker] Loaded 1 hourly records
[ticker-service] Notification push server on port 3004
[ticker-service] WebSocket server running on port 3003
[ticker-service] Source: Binance P2P API (only)
[ticker-service] Fetching every 10s, 20 ads per side
[ticker-service] Tick history: /home/z/my-project/mini-services/ticker-service/data/price-history.json
[ticker-service] Hourly history: /home/z/my-project/mini-services/ticker-service/data/hourly-history.json
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 66, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 67, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 68, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 69, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 70, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.15 | BUY: 50.93, SELL: 50.84 | Spread: 0.09 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 71, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 72, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 73, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.16 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 74, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.17 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 75, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.17 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 76, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.17 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 77, Hourly: 2
[ticker] Binance P2P → ask(lowest BUY ad): 50.62, bid(highest SELL ad): 51.17 | BUY: 50.94, SELL: 50.84 | Spread: 0.10 | 24h: +0.26% (+0.13) | High: 50.89, Low: 50.73, Open: 50.76 | Ticks: 78, Hourly: 2
